,Postcode,Borough,Neighborhood,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels
0,M1B,Scarborough,"Rouge,Malvern",43.8066863,-79.19435340000003,Fast Food Restaurant,Women's Store,Doner Restaurant,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Donut Shop,0
1,M1C,Scarborough,"Highland Creek,Rouge Hill,Port Union",43.7845351,-79.16049709999999,Bar,Women's Store,Donut Shop,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Drugstore,0
2,M1E,Scarborough,"Guildwood,Morningside,West Hill",43.7635726,-79.1887115,Breakfast Spot,Medical Center,Rental Car Location,Intersection,Mexican Restaurant,Electronics Store,Pizza Place,Spa,Donut Shop,Doner Restaurant,5
3,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,Coffee Shop,Insurance Office,Korean Restaurant,Doner Restaurant,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,0
4,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999998,Hakka Restaurant,Fried Chicken Joint,Thai Restaurant,Caribbean Restaurant,Bakery,Bank,Athletics & Sports,Dumpling Restaurant,Drugstore,Donut Shop,0
5,M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999998,Playground,Convenience Store,Women's Store,Dog Run,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Doner Restaurant,0
6,M1K,Scarborough,"East Birchmount Park,Ionview,Kennedy Park",43.7279292,-79.26202940000002,Bus Station,Department Store,Coffee Shop,Discount Store,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Dog Run,Women's Store,0
7,M1L,Scarborough,"Clairlea,Golden Mile,Oakridge",43.7111117,-79.2845772,Bakery,Bus Line,Soccer Field,Park,Intersection,Fast Food Restaurant,Metro Station,Dim Sum Restaurant,Diner,Discount Store,0
8,M1M,Scarborough,"Cliffcrest,Cliffside,Scarborough Village West",43.716316,-79.23947609999998,Motel,American Restaurant,Dance Studio,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,0
9,M1N,Scarborough,"Birch Cliff,Cliffside West",43.692657,-79.2648481,College Stadium,Café,Skating Rink,General Entertainment,Women's Store,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,0
10,M1P,Scarborough,"Dorset Park,Scarborough Town Centre,Wexford Heights",43.7574096,-79.27330400000002,Indian Restaurant,Vietnamese Restaurant,Latin American Restaurant,Chinese Restaurant,Pet Store,College Stadium,Deli / Bodega,Electronics Store,Eastern European Restaurant,College Gym,0
11,M1R,Scarborough,"Maryvale,Wexford",43.7500715,-79.2958491,Bakery,Auto Garage,Smoke Shop,Shopping Mall,Breakfast Spot,Middle Eastern Restaurant,Sandwich Place,Women's Store,Dim Sum Restaurant,Diner,0
12,M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002,Lounge,Breakfast Spot,Sandwich Place,Skating Rink,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,0
13,M1T,Scarborough,"Clarks Corners,Sullivan,Tam O'Shanter",43.7816375,-79.3043021,Pizza Place,Rental Car Location,Noodle House,Italian Restaurant,Fried Chicken Joint,Thai Restaurant,Chinese Restaurant,Fast Food Restaurant,Pharmacy,Dog Run,5
14,M1V,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",43.8152522,-79.2845772,Park,Coffee Shop,Playground,Dog Run,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,0
15,M1W,Scarborough,L'Amoreaux West,43.79952520000001,-79.3183887,Fast Food Restaurant,Grocery Store,Chinese Restaurant,Coffee Shop,Electronics Store,Japanese Restaurant,Sandwich Place,Breakfast Spot,Pizza Place,Pharmacy,0
17,M2H,North York,Hillcrest Village,43.8037622,-79.3634517,Athletics & Sports,Dog Run,Golf Course,Fast Food Restaurant,Pool,Mediterranean Restaurant,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,5
18,M2J,North York,"Fairview,Henry Farm,Oriole",43.7785175,-79.3465557,Clothing Store,Fast Food Restaurant,Coffee Shop,Tea Room,Bus Station,Japanese Restaurant,Jewelry Store,Asian Restaurant,Juice Bar,Restaurant,0
19,M2K,North York,Bayview Village,43.7869473,-79.385975,Bank,Chinese Restaurant,Café,Japanese Restaurant,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Women's Store,0
20,M2L,North York,"Silver Hills,York Mills",43.7574902,-79.37471409999998,Park,Cafeteria,Women's Store,Dog Run,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Doner Restaurant,0
22,M2N,North York,Willowdale South,43.7701199,-79.40849279999998,Coffee Shop,Ramen Restaurant,Sushi Restaurant,Sandwich Place,Café,Restaurant,Pizza Place,Fast Food Restaurant,Ice Cream Shop,Steakhouse,0
23,M2P,North York,York Mills West,43.7527583,-79.4000493,Bank,Park,Electronics Store,Donut Shop,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,0
24,M2R,North York,Willowdale West,43.7827364,-79.4422593,Pharmacy,Butcher,Pizza Place,Coffee Shop,Grocery Store,Airport,Deli / Bodega,Ethiopian Restaurant,Empanada Restaurant,Electronics Store,0
25,M3A,North York,Parkwoods,43.7532586,-79.3296565,Park,Fast Food Restaurant,Food & Drink Shop,Pool,Women's Store,Discount Store,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,5
26,M3B,North York,Don Mills North,43.7459058,-79.352188,Gym / Fitness Center,Café,Japanese Restaurant,Caribbean Restaurant,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,0
27,M3C,North York,"Flemingdon Park,Don Mills South",43.72589970000001,-79.340923,Gym,Asian Restaurant,Coffee Shop,Beer Store,Grocery Store,Dim Sum Restaurant,Italian Restaurant,Japanese Restaurant,Discount Store,Sporting Goods Shop,9
28,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,Coffee Shop,Frozen Yogurt Shop,Diner,Sandwich Place,Bridal Shop,Fast Food Restaurant,Bank,Deli / Bodega,Restaurant,Supermarket,0
29,M3J,North York,"Northwood Park,York University",43.7679803,-79.48726190000002,Falafel Restaurant,Massage Studio,Furniture / Home Store,Bar,Coffee Shop,Empanada Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Department Store,0
30,M3K,North York,"CFB Toronto,Downsview East",43.7374732,-79.46476329999999,Park,Snack Place,Airport,Doner Restaurant,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,0
31,M3L,North York,Downsview West,43.7390146,-79.5069436,Grocery Store,Bank,Moving Target,Shopping Mall,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Donut Shop,Electronics Store,Deli / Bodega,5
32,M3M,North York,Downsview Central,43.7284964,-79.49569740000003,Business Service,Food Truck,Baseball Field,Korean Restaurant,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,0
33,M3N,North York,Downsview Northwest,43.7616313,-79.52099940000002,Liquor Store,Athletics & Sports,Discount Store,Gym / Fitness Center,Grocery Store,Gourmet Shop,Event Space,Empanada Restaurant,Electronics Store,Eastern European Restaurant,0
34,M4A,North York,Victoria Village,43.7258823,-79.31557159999998,Hockey Arena,Coffee Shop,Pizza Place,Portuguese Restaurant,Doner Restaurant,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,0
